,1 - Copy (3),1 - Copy (15),1 - Copy (6),1,1 - Copy (22) - Copy,1 - Copy (2),1 - Copy (5),1 - Copy (20),1 - Copy (22),1 - Copy (4),1 - Copy (11),1 - Copy (21),1 - Copy (9),1 - Copy (16),1 - Copy (19),1 - Copy (12),1 - Copy,1 - Copy (14),1 - Copy (7),1 - Copy (17),1 - Copy (18),1 - Copy (10),1 - Copy (13),1 - Copy (8)
1 - Copy (3),0,271.4719138327205,227.90348834539589,114.69088891450794,285.07016680108774,178.2638493918495,355.98033653560134,111.01801655587259,362.27061708065696,270.84497410880635,368.0720038253385,362.27751793342077,353.7470847936418,321.1790777743781,130.0,181.72781845386248,140.05713120009278,372.7425384900414,233.93161393877486,400.1162331123295,167.90771274721124,365.82509481991525,246.03251817595168,177.55280904564702
1 - Copy (15),271.4719138327205,0,182.03571078225283,207.95432190748045,354.80276210875246,215.5411793602327,218.08255317654368,382.83286170338096,483.84811666472365,498.40244782705474,195.30488985173923,383.0939832469312,465.4299087940095,363.1087991222466,503.51762630517715,182.25805880673698,399.50469333913964,300.5544875725531,235.77107541002565,382.35062442737035,248.67649667791284,199.58206332233365,174.61385970191483,181.86808406094787
1 - Copy (6),227.90348834539589,182.03571078225283,0,152.43359209832983,179.79988876526036,417.8672037860832,153.3101431738944,156.1569723067145,489.8132297110808,535.6164672599228,532.2189399110107,201.30822139197394,212.8497122384712,483.125242561388,393.9543120718442,406.31514862234707,464.8408329740407,249.04015740438328,202.03960007879644,471.22075506072525,305.04098085339285,344.37189200049414,156.01281998605114,87.09190547921202
1,114.69088891450794,207.95432190748045,152.43359209832983,0,359.5622338344226,314.42805218364344,156.20819440733575,215.61307938063499,443.5143740624423,232.86047324524614,324.4641736771565,320.8987379221053,335.2193311848229,314.3405796266209,326.27135945405934,144.9310180741169,98.6154146165801,120.15406776301833,110.5350623105628,404.6047453997543,100.43903623591775,233.43093196918014,243.82165613415063,352.239975017033
1 - Copy (22) - Copy,285.07016680108774,354.80276210875246,179.79988876526036,359.5622338344226,0,188.67962264113208,361.1675511448945,401.90794966011805,239.47024867402632,253.9488137400921,360.93766774887877,252.76471272707352,124.32618388738553,407.80632658162625,483.54213880488226,455.9265291689002,333.0540496676178,209.16022566444127,377.5142381420865,91.21403400793103,264.8867682614592,125.686116973992,348.0057470789814,106.55045753069294
1 - Copy (2),178.2638493918495,215.5411793602327,417.8672037860832,314.42805218364344,188.67962264113208,0,235.03191272676142,495.5501992734944,342.5930530527436,120.10828447696687,235.61409125941512,406.8734446974882,414.58051087816466,510.4400062691011,137.55726080436466,296.4877737782791,476.366455578056,386.7453942841466,341.80988868082795,277.27242920997395,204.50183373260984,165.42369842317032,385.50226977282506,145.90750494748377
1 - Copy (5),355.98033653560134,218.08255317654368,153.3101431738944,156.20819440733575,361.1675511448945,235.03191272676142,0,170.07351351694948,208.60009587725506,345.5676489487984,177.72450590731714,219.22819161777528,361.61996626292637,200.0399960007998,230.4951192541829,109.65856099730654,135.03332921912278,438.5076966257263,265.5051788572118,459.3647787978525,243.29611587528478,358.8049609467517,382.79237191981764,169.77926846349644
1 - Copy (20),111.01801655587259,382.83286170338096,156.1569723067145,215.61307938063499,401.90794966011805,495.5501992734944,170.07351351694948,0,423.1146416752793,236.44872594285638,511.22010915064754,203.93136100168604,132.60844618650805,130.74020039758238,367.02179771779225,263.89391808073185,150.88074761214565,291.1528808031959,384.4385516568285,409.20654931220247,420.4057563830448,488.4751784891429,298.8728826775691,502.8130865440954
1 - Copy (22),362.27061708065696,483.84811666472365,489.8132297110808,443.5143740624423,239.47024867402632,342.5930530527436,208.60009587725506,423.1146416752793,0,472.974629340729,162.78820596099706,508.9449872039217,170.4494059831245,187.275198571514,135.34031180694095,496.2358310319802,446.4314057052886,252.77064703006954,245.0550958458118,247.329739416836,343.0757933751666,267.0674072214728,514.8718287107968,135.80132547217644
1 - Copy (4),270.84497410880635,498.40244782705474,535.6164672599228,232.86047324524614,253.9488137400921,120.10828447696687,345.5676489487984,236.44872594285638,472.974629340729,0,134.5362404707371,88.09086218218096,132.7742444904131,145.8800877433243,186.76188047886004,109.38464243210744,134.48048185517482,477.32588448564155,371.856154984693,453.27806035589236,240.88171371027732,386.84622267769396,342.527371169079,445.4312517100703
1 - Copy (11),368.0720038253385,195.30488985173923,532.2189399110107,324.4641736771565,360.93766774887877,235.61409125941512,177.72450590731714,511.22010915064754,162.78820596099706,134.5362404707371,0,197.85095400325974,153.58710883404245,284.43101096751036,144.4195277654653,173.9683879329805,311.26194756185663,335.90028282214945,426.69075452838206,121.45781160551181,434.222293301484,128.73616430514,517.7257961508196,150.2664300500947
1 - Copy (21),362.27751793342077,383.0939832469312,201.30822139197394,320.8987379221053,252.76471272707352,406.8734446974882,219.22819161777528,203.93136100168604,508.9449872039217,88.09086218218096,197.85095400325974,0,184.0108692441835,236.6600938054407,406.2819218227658,192.78226059469267,82.87943049997388,87.55569655939013,402.06094065452316,226.31394124092313,322.0062111202205,460.792795082562,483.40976407184826,359.11697258692743
1 - Copy (9),353.7470847936418,465.4299087940095,212.8497122384712,335.2193311848229,124.32618388738553,414.58051087816466,361.61996626292637,132.60844618650805,170.4494059831245,132.7742444904131,153.58710883404245,184.0108692441835,0,450.1310920165369,426.01056324931665,309.00647242412253,107.48023074035522,82.46211251235322,140.13208055259867,499.0400785508114,212.60291625469299,143.68020044529447,214.11212016137713,289.9137802864845
1 - Copy (16),321.1790777743781,363.1087991222466,483.125242561388,314.3405796266209,407.80632658162625,510.4400062691011,200.0399960007998,130.74020039758238,187.275198571514,145.8800877433243,284.43101096751036,236.6600938054407,450.1310920165369,0,174.25555945220228,147.12239802287073,357.4646835702794,198.9572818471342,288.5064990602465,415.00843364924526,302.67639485100256,414.3971524998694,374.50901190759083,187.17104476921637
1 - Copy (19),130.0,503.51762630517715,393.9543120718442,326.27135945405934,483.54213880488226,137.55726080436466,230.4951192541829,367.02179771779225,135.34031180694095,186.76188047886004,144.4195277654653,406.2819218227658,426.01056324931665,174.25555945220228,0,196.78668654154427,200.5243127403757,328.3900120283807,147.36349615830918,150.6286825275983,357.33737559902687,124.27791436936813,391.9438735329333,136.40014662748717
1 - Copy (12),181.72781845386248,182.25805880673698,406.31514862234707,144.9310180741169,455.9265291689002,296.4877737782791,109.65856099730654,263.89391808073185,496.2358310319802,109.38464243210744,173.9683879329805,192.78226059469267,309.00647242412253,147.12239802287073,196.78668654154427,0,186.38937737972086,186.1316738225926,358.40200892294115,218.96118377465902,193.60010330575756,348.1738071710737,486.56859742486466,438.32864382789313
1 - Copy,140.05713120009278,399.50469333913964,464.8408329740407,98.6154146165801,333.0540496676178,476.366455578056,135.03332921912278,150.88074761214565,446.4314057052886,134.48048185517482,311.26194756185663,82.87943049997388,107.48023074035522,357.4646835702794,200.5243127403757,186.38937737972086,0,162.75441622272496,191.3243319601561,309.00647242412253,262.1221089492453,250.79872407968904,336.1487765856065,439.6043675852186
