,017_F,035_M,015_F,013_M,036_F,031_F,012_F,005_M,020_M,007_F,008_M,028_M,002_M,004_F,021_F
017_F,0,197.9520143873257,199.96499693696396,175.6843760839307,195.97959077414157,198.66806487203723,130.29965464267354,457.73900860643283,339.0368711512068,161.4465855941215,247.34793308212625,340.0132350365203,375.6447790133652,223.1882613400624,224.87552112224222
035_M,197.9520143873257,0,130.91982279242512,190.90573590125572,231.62469643800938,351.0056979594491,74.81310045707235,347.23047101312983,341.91958118832565,324.1681662347492,161.533278305122,164.0,269.58486604407153,166.85922210054798,80.8084154033477
015_F,199.96499693696396,130.91982279242512,0,374.41821536885726,359.01253460011674,305.8512710452582,227.2003521124032,295.49450079485405,265.1886121235224,417.6900764921283,259.0694887477103,203.06649157357302,137.2443077143821,174.91712323268982,190.37331745809337
013_M,175.6843760839307,190.90573590125572,374.41821536885726,0,130.31116606031887,216.83173199511182,212.40762698170704,174.6339027795004,240.63457773146402,327.9283458318296,78.10249675906654,219.9681795169474,191.02355875650522,166.388100536066,393.71182354610585
036_F,195.97959077414157,231.62469643800938,359.01253460011674,130.31116606031887,0,101.82828683622247,141.088624630053,135.95955280891445,407.7511495998509,385.5191305240247,432.0428219517135,348.919761549844,130.96946208945045,345.70073763299956,110.21796586763884
031_F,198.66806487203723,351.0056979594491,305.8512710452582,216.83173199511182,101.82828683622247,0,81.88406438373708,463.9234850705448,236.31546711969574,242.25812679866902,385.0311675695878,173.21951391226105,299.5880504960103,154.00324671902212,138.57849761056005
012_F,130.29965464267354,74.81310045707235,227.2003521124032,212.40762698170704,141.088624630053,81.88406438373708,0,221.04524423746375,366.824208579532,449.5253051831454,412.43787410954394,154.05518491761322,171.04970037974343,166.0903368652132,211.24866863485792
005_M,457.73900860643283,347.23047101312983,295.49450079485405,174.6339027795004,135.95955280891445,463.9234850705448,221.04524423746375,0,367.0013623952914,393.3954753171419,485.1432778056396,143.8923208513922,193.25889371514057,409.0990100208017,391.1380830346235
020_M,339.0368711512068,341.91958118832565,265.1886121235224,240.63457773146402,407.7511495998509,236.31546711969574,366.824208579532,367.0013623952914,0,236.78048906107108,388.1043674065006,102.41581909060729,181.43042743707574,86.92525524840292,298.21636440678435
007_F,161.4465855941215,324.1681662347492,417.6900764921283,327.9283458318296,385.5191305240247,242.25812679866902,449.5253051831454,393.3954753171419,236.78048906107108,0,186.30083198955393,132.43866504914644,401.6590594023742,215.74522010927612,504.5711049990873
008_M,247.34793308212625,161.533278305122,259.0694887477103,78.10249675906654,432.0428219517135,385.0311675695878,412.43787410954394,485.1432778056396,388.1043674065006,186.30083198955393,0,317.855312996338,410.62148019800424,161.07451691686057,443.180550114736
028_M,340.0132350365203,164.0,203.06649157357302,219.9681795169474,348.919761549844,173.21951391226105,154.05518491761322,143.8923208513922,102.41581909060729,132.43866504914644,317.855312996338,0,161.55494421403512,177.341478509682,115.83609109426992
002_M,375.6447790133652,269.58486604407153,137.2443077143821,191.02355875650522,130.96946208945045,299.5880504960103,171.04970037974343,193.25889371514057,181.43042743707574,401.6590594023742,410.62148019800424,161.55494421403512,0,153.00326793895613,189.67867565965344
004_F,223.1882613400624,166.85922210054798,174.91712323268982,166.388100536066,345.70073763299956,154.00324671902212,166.0903368652132,409.0990100208017,86.92525524840292,215.74522010927612,161.07451691686057,177.341478509682,153.00326793895613,0,98.50888284819801
021_F,224.87552112224222,80.8084154033477,190.37331745809337,393.71182354610585,110.21796586763884,138.57849761056005,211.24866863485792,391.1380830346235,298.21636440678435,504.5711049990873,443.180550114736,115.83609109426992,189.67867565965344,98.50888284819801,0
