,036_F,035_M,028_M,021_F,013_M,002_M,020_M,031_F,015_F,007_F,008_M,004_F,005_M,012_F,017_F
036_F,0,176.81628884240274,345.74267888127434,395.8850843363513,207.23416706711276,344.81879299133334,463.24939287601876,452.9823396116012,216.0925727552893,408.88629226228653,480.9095549061175,384.83762809787714,466.39146647424843,222.28135324403618,404.36122464944634
035_M,176.81628884240274,0,171.49344010777787,255.180328395431,340.06617003165724,343.0131192826303,378.9775718957522,419.2004293890931,228.31995094603536,136.33048081775402,287.98784696580515,173.62315513778685,343.8168116890156,310.98713799769916,406.3545250147954
028_M,345.74267888127434,171.49344010777787,0,148.52945835759317,205.10485123467947,186.77526602845464,325.2352994371921,415.0192766607354,151.71354586852158,190.11838417154718,417.02997494184996,351.17232237179513,204.26698215815497,426.76574370490425,439.13779158710537
021_F,395.8850843363513,255.180328395431,148.52945835759317,0,143.01398533010678,250.7149776140229,181.8378398463862,289.0017300986276,145.52319402761884,266.20480837129895,471.00955404322747,464.2434706056726,310.92442811718735,393.8019806958822,334.46225497057213
013_M,207.23416706711276,340.06617003165724,205.10485123467947,143.01398533010678,0,170.76592165886026,366.5092086155544,335.4519339637201,183.69812192834198,287.5708608325955,424.53032871633565,473.38145295311267,257.0,302.8696089078599,374.70121430280955
002_M,344.81879299133334,343.0131192826303,186.77526602845464,250.7149776140229,170.76592165886026,0,166.20770138594662,268.8215021161812,409.19066460514466,471.52942644123493,489.5099590406716,335.85860119996926,294.7303852676205,195.2050204272421,314.76022620401073
020_M,463.24939287601876,378.9775718957522,325.2352994371921,181.8378398463862,366.5092086155544,166.20770138594662,0,130.58713566044705,336.1220016601115,439.7101317913882,522.0086206184722,279.1128803907122,411.5786680575173,364.29246492344583,208.00961516237658
031_F,452.9823396116012,419.2004293890931,415.0192766607354,289.0017300986276,335.4519339637201,268.8215021161812,130.58713566044705,0,223.64704335179573,345.98410368107955,468.28730497420065,185.69868066305693,437.1464285568395,296.23301639081353,91.0
015_F,216.0925727552893,228.31995094603536,151.71354586852158,145.52319402761884,183.69812192834198,409.19066460514466,336.1220016601115,223.64704335179573,0,136.85393673548452,309.16176995223714,75.96051605933177,420.2201803816661,364.66422912043345,327.7392256047481
007_F,408.88629226228653,136.33048081775402,190.11838417154718,266.20480837129895,287.5708608325955,471.52942644123493,439.7101317913882,345.98410368107955,136.85393673548452,0,192.60321908005588,162.40997506310995,388.35293226651453,453.76645975655805,478.29802424848043
008_M,480.9095549061175,287.98784696580515,417.02997494184996,471.00955404322747,424.53032871633565,489.5099590406716,522.0086206184722,468.28730497420065,309.16176995223714,192.60321908005588,0,293.4024539774676,287.0853531617383,392.75692228145385,477.0167711936342
004_F,384.83762809787714,173.62315513778685,351.17232237179513,464.2434706056726,473.38145295311267,335.85860119996926,279.1128803907122,185.69868066305693,75.96051605933177,162.40997506310995,293.4024539774676,0,354.9042124292131,228.0350850198276,330.55256768024054
005_M,466.39146647424843,343.8168116890156,204.26698215815497,310.92442811718735,257.0,294.7303852676205,411.5786680575173,437.1464285568395,420.2201803816661,388.35293226651453,287.0853531617383,354.9042124292131,0,147.31259280862582,282.10990766011747
012_F,222.28135324403618,310.98713799769916,426.76574370490425,393.8019806958822,302.8696089078599,195.2050204272421,364.29246492344583,296.23301639081353,364.66422912043345,453.76645975655805,392.75692228145385,228.0350850198276,147.31259280862582,0,219.92044015961773
017_F,404.36122464944634,406.3545250147954,439.13779158710537,334.46225497057213,374.70121430280955,314.76022620401073,208.00961516237658,91.0,327.7392256047481,478.29802424848043,477.0167711936342,330.55256768024054,282.10990766011747,219.92044015961773,0
